time,date,hour,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,gen_solar,gen_wind,gen_hydro,gen_pumped_hydro,gen_fossil,gen_nuclear,gen_other,temp_Barcelona,temp_Bilbao,temp_Madrid,temp_Seville,temp_Valencia,pressure_Barcelona,pressure_Bilbao,pressure_Madrid,pressure_Seville,pressure_Valencia,humidity_Barcelona,humidity_Bilbao,humidity_Madrid,humidity_Seville,humidity_Valencia,wind_speed_Barcelona,wind_speed_Bilbao,wind_speed_Madrid,wind_speed_Seville,wind_speed_Valencia,wind_deg_Barcelona,wind_deg_Bilbao,wind_deg_Madrid,wind_deg_Seville,wind_deg_Valencia,rain_1h_Barcelona,rain_1h_Bilbao,rain_1h_Madrid,rain_1h_Seville,rain_1h_Valencia,rain_3h_Barcelona,rain_3h_Bilbao,rain_3h_Madrid,rain_3h_Seville,rain_3h_Valencia,snow_3h_Barcelona,snow_3h_Bilbao,snow_3h_Madrid,snow_3h_Seville,snow_3h_Valencia,clouds_all_Barcelona,clouds_all_Bilbao,clouds_all_Madrid,clouds_all_Seville,clouds_all_Valencia,temp_avg
2014-12-31 23:00:00+00:00,2014-12-31,23,17.0,6436.0,26118.0,25385.0,50.1,65.41,49.0,6378.0,2950.0,863.0,10156.0,7096.0,759.0,8.475000000000023,-3.492687499999988,-5.824999999999989,0.2250000000000227,-2.6749999999999545,1035.0,1036.0,971.0,1039.0,1001.0,100,97,63,75,77,7.0,0.0,1.0,1.0,1.0,58,226,309,21,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-0.6585374999999771
2015-01-01 00:00:00+00:00,2015-01-01,0,16.0,5856.0,24934.0,24382.0,48.1,64.92,50.0,5890.0,2667.0,920.0,10437.0,7096.0,758.0,8.475000000000023,-3.3864999999999554,-5.824999999999989,0.2250000000000227,-2.6749999999999545,1035.0,1035.0,971.0,1039.0,1001.0,100,97,63,75,77,7.0,0.0,1.0,1.0,1.0,58,229,309,21,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-0.6372999999999707
2015-01-01 01:00:00+00:00,2015-01-01,1,8.0,5454.0,23515.0,22734.0,47.33,64.48,50.0,5461.0,2344.0,1164.0,9918.0,7099.0,760.0,8.136000000000024,-3.898312499999975,-6.963999999999999,0.9360000000000356,-3.463999999999998,1036.0,1036.0,971.0,1039.0,1002.0,100,97,64,71,78,7.0,1.0,1.0,3.0,0.0,48,224,273,27,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1.0508624999999825
2015-01-01 02:00:00+00:00,2015-01-01,2,2.0,5151.0,22642.0,21286.0,42.27,59.32,50.0,5238.0,1728.0,1503.0,8859.0,7098.0,747.0,8.136000000000024,-3.9466562499999895,-6.963999999999999,0.9360000000000356,-3.463999999999998,1036.0,1035.0,971.0,1039.0,1002.0,100,97,64,71,78,7.0,1.0,1.0,3.0,0.0,48,225,273,27,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1.0605312499999855
2015-01-01 03:00:00+00:00,2015-01-01,3,9.0,4861.0,21785.0,20264.0,38.41,56.04,42.0,4935.0,1673.0,1826.0,8313.0,7097.0,734.0,8.136000000000024,-3.664499999999976,-6.963999999999999,0.9360000000000356,-3.463999999999998,1036.0,1035.0,971.0,1039.0,1002.0,100,97,64,71,78,7.0,1.0,1.0,3.0,0.0,48,221,273,27,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1.0040999999999827
2015-01-01 04:00:00+00:00,2015-01-01,4,4.0,4617.0,21441.0,19905.0,35.72,53.63,34.0,4618.0,1695.0,2109.0,7962.0,7098.0,715.0,7.317000000000007,-3.822999999999979,-7.70799999999997,1.4420000000000073,-2.8579999999999472,1037.0,1035.0,972.0,1039.0,1004.0,100,97,64,81,71,5.0,1.0,0.0,4.0,2.0,32,224,240,57,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1.1259999999999764
2015-01-01 05:00:00+00:00,2015-01-01,5,3.0,4276.0,21285.0,20010.0,35.13,51.73,34.0,4397.0,1809.0,2108.0,7738.0,7098.0,704.0,7.317000000000007,-3.6509999999999536,-7.70799999999997,1.4420000000000073,-2.8579999999999472,1037.0,1035.0,972.0,1039.0,1004.0,100,97,64,81,71,5.0,1.0,0.0,4.0,2.0,32,222,240,57,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1.0915999999999713
2015-01-01 06:00:00+00:00,2015-01-01,6,12.0,3994.0,21545.0,20377.0,36.22,51.43,35.0,3992.0,1995.0,2031.0,7570.0,7099.0,712.0,7.317000000000007,-2.2099999999999795,-7.70799999999997,1.4420000000000073,-2.8579999999999472,1037.0,1036.0,972.0,1039.0,1004.0,100,95,64,81,71,5.0,1.0,0.0,4.0,2.0,32,222,240,57,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-0.8033999999999765
2015-01-01 07:00:00+00:00,2015-01-01,7,39.0,3602.0,21443.0,20094.0,32.4,48.98,54.0,3629.0,2016.0,2119.0,7725.0,7098.0,727.0,7.600999999999999,-2.460999999999956,-4.873999999999967,2.501000000000033,1.4510000000000218,1038.0,1036.0,974.0,1041.0,1005.0,100,96,66,73,71,2.0,1.0,1.0,2.0,1.0,353,219,329,32,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.8436000000000263
2015-01-01 08:00:00+00:00,2015-01-01,8,784.0,3212.0,21560.0,20637.0,36.6,54.2,743.0,3073.0,2398.0,2170.0,7914.0,7097.0,734.0,7.600999999999999,-1.4429999999999836,-4.873999999999967,2.501000000000033,1.4510000000000218,1038.0,1036.0,974.0,1041.0,1005.0,100,95,66,73,71,2.0,1.0,1.0,2.0,1.0,353,218,329,32,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0472000000000208
2015-01-01 09:00:00+00:00,2015-01-01,9,1996.0,2617.0,22824.0,22250.0,43.1,58.94,2019.0,2683.0,2858.0,2020.0,7915.0,7096.0,741.0,7.600999999999999,3.719000000000051,-4.873999999999967,2.501000000000033,1.4510000000000218,1038.0,1036.0,974.0,1041.0,1005.0,100,71,66,73,71,2.0,1.0,1.0,2.0,1.0,353,212,329,32,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0796000000000276
2015-01-01 10:00:00+00:00,2015-01-01,10,2990.0,2450.0,23720.0,23547.0,45.14,59.86,3197.0,2771.0,2585.0,1183.0,8168.0,7097.0,742.0,10.099000000000046,3.355687500000045,8.424000000000035,11.924000000000037,11.674000000000037,1038.0,1036.0,974.0,1042.0,1006.0,100,78,61,68,55,2.0,1.0,1.0,4.0,1.0,272,213,344,55,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.095337500000038
2015-01-01 11:00:00+00:00,2015-01-01,11,3842.0,2819.0,24180.0,24133.0,45.14,60.12,3885.0,2906.0,2256.0,972.0,8474.0,7097.0,753.0,10.099000000000046,7.136343750000037,8.424000000000035,11.924000000000037,11.674000000000037,1038.0,1036.0,974.0,1042.0,1006.0,100,62,61,68,55,2.0,1.0,1.0,4.0,1.0,272,209,344,55,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.851468750000038
2015-01-01 12:00:00+00:00,2015-01-01,12,3812.0,2830.0,24797.0,24713.0,47.35,62.05,4007.0,2923.0,2327.0,922.0,8613.0,7099.0,749.0,10.099000000000046,5.639499999999998,8.424000000000035,11.924000000000037,11.674000000000037,1038.0,1036.0,974.0,1042.0,1006.0,100,73,61,68,55,2.0,1.0,1.0,4.0,1.0,272,196,344,55,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.55210000000003
2015-01-01 13:00:00+00:00,2015-01-01,13,3699.0,2851.0,25222.0,24672.0,47.35,62.06,3973.0,2945.0,2055.0,941.0,8461.0,7097.0,749.0,10.654312500000003,11.179343750000044,9.38765625000002,12.884000000000016,11.900656249999995,1035.0,1036.0,1036.0,1039.0,1015.0,57,48,47,60,52,3.0,1.0,1.0,4.0,1.0,275,194,15,53,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11.201193750000016
2015-01-01 14:00:00+00:00,2015-01-01,14,3369.0,2822.0,24173.0,23528.0,43.61,59.76,3818.0,2709.0,2174.0,1069.0,8089.0,7096.0,747.0,11.166687500000023,11.4416875,10.158312500000022,13.844000000000053,12.127343750000025,1035.0,1035.0,1035.0,1036.0,1025.0,58,49,45,53,50,4.0,0.0,1.0,3.0,1.0,263,184,24,52,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11.747606250000024
2015-01-01 15:00:00+00:00,2015-01-01,15,2615.0,2562.0,23659.0,23118.0,44.91,61.18,3088.0,2552.0,2188.0,970.0,8423.0,7095.0,749.0,10.570500000000038,7.020500000000027,4.80800000000005,10.411500000000046,7.874000000000024,1035.0,1036.0,1036.0,1038.0,1021.0,62,65,68,70,67,4.0,1.0,1.0,3.0,1.0,267,194,108,47,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,8.136900000000036
2015-01-01 16:00:00+00:00,2015-01-01,16,1387.0,2578.0,23982.0,23606.0,48.1,64.74,1467.0,2699.0,2662.0,798.0,9161.0,7095.0,750.0,11.452312500000003,8.844000000000051,7.619000000000028,12.83565625,9.594000000000053,1035.0,1035.0,1035.0,1033.0,1035.0,62,62,58,54,58,5.0,0.0,1.0,3.0,1.0,250,177,92,47,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,10.068993750000027
2015-01-01 17:00:00+00:00,2015-01-01,17,399.0,2824.0,26981.0,26447.0,58.02,74.26,404.0,2764.0,4297.0,1.0,9958.0,7096.0,752.0,11.225656250000045,5.984000000000037,4.309000000000026,10.867343750000032,6.83400000000006,1035.0,1035.0,1036.0,1034.0,1035.0,65,73,72,63,68,5.0,0.0,1.0,3.0,1.0,248,180,150,44,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0,7.844000000000039
2015-01-01 18:00:00+00:00,2015-01-01,18,100.0,2801.0,28515.0,28020.0,61.01,74.24,139.0,2913.0,6486.0,1.0,9778.0,7096.0,768.0,11.026218749999998,6.085000000000036,1.801187500000026,8.946187500000008,4.726187500000037,1036.0,1036.0,999.0,1039.0,1017.0,83,72,55,68,69,4.0,1.0,1.0,3.0,1.0,260,198,156,51,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,6.516956250000021
2015-01-01 19:00:00+00:00,2015-01-01,19,44.0,2999.0,30482.0,29014.0,62.69,75.64,100.0,3118.0,7397.0,0.0,9821.0,7096.0,772.0,10.795000000000016,2.2379999999999995,-1.642499999999984,6.970000000000027,1.857500000000016,1036.0,1036.0,1005.0,1038.0,1021.0,84,87,75,78,81,5.0,1.0,1.0,2.0,1.0,256,196,224,45,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,4.043600000000015
2015-01-01 20:00:00+00:00,2015-01-01,20,26.0,3185.0,30739.0,29571.0,60.41,73.92,75.0,3373.0,7451.0,0.0,10206.0,7096.0,772.0,10.591000000000008,1.3520000000000325,-4.283999999999992,5.040999999999997,-0.3589999999999804,1038.0,1036.0,974.0,1042.0,1006.0,100,90,63,84,84,4.0,1.0,1.0,2.0,1.0,266,209,239,51,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,0,0,0,2.468200000000013
2015-01-01 21:00:00+00:00,2015-01-01,21,13.0,3446.0,29756.0,29031.0,58.15,70.53,74.0,3508.0,6537.0,0.0,10336.0,7098.0,767.0,10.591000000000008,1.6890000000000214,-4.283999999999992,5.040999999999997,-0.3589999999999804,1038.0,1036.0,974.0,1042.0,1006.0,100,88,63,84,84,4.0,1.0,1.0,2.0,1.0,266,201,239,51,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,2.5356000000000107
2015-01-01 22:00:00+00:00,2015-01-01,22,14.0,3482.0,27589.0,26798.0,53.6,64.13,56.0,3527.0,4606.0,0.0,10107.0,7098.0,764.0,9.62900000000002,0.3953125000000455,-6.020999999999958,3.379000000000019,-1.9209999999999356,1038.0,1036.0,975.0,1043.0,1006.0,100,92,64,83,82,2.0,1.0,1.0,2.0,1.0,296,221,254,33,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,1.0922625000000383
2015-01-01 23:00:00+00:00,2015-01-01,23,5.0,13329.0,27309.0,27070.0,10.0,64.02,54.0,13232.0,5139.0,1290.0,4673.0,7106.0,644.0,9.62900000000002,0.3246562500000323,-6.020999999999958,3.379000000000019,-1.9209999999999356,1038.0,1036.0,975.0,1043.0,1006.0,100,92,64,83,82,2.0,2.0,1.0,2.0,1.0,296,220,254,33,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0,1.0781312500000357
2015-01-02 00:00:00+00:00,2015-01-02,0,35.0,12718.0,25397.0,24935.0,7.0,58.46,54.0,12760.0,4259.0,1996.0,4284.0,7106.0,641.0,9.62900000000002,-0.6474999999999795,-6.020999999999958,3.379000000000019,-1.9209999999999356,1038.0,1036.0,975.0,1043.0,1006.0,100,93,64,83,82,2.0,1.0,1.0,2.0,1.0,296,254,254,33,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,0.8837000000000333
2015-01-02 01:00:00+00:00,2015-01-02,1,43.0,12375.0,23640.0,23214.0,5.0,54.7,54.0,12174.0,3827.0,2698.0,3984.0,7107.0,629.0,8.714000000000112,-0.4176562499999932,-6.760999999999967,3.164000000000044,-2.48599999999999,1037.0,1036.0,974.0,1043.0,1005.0,100,93,64,85,82,2.0,1.0,1.0,3.0,1.0,338,242,314,44,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.4426687500000412
2015-01-02 02:00:00+00:00,2015-01-02,2,32.0,11524.0,22638.0,22540.0,4.0,54.91,53.0,11358.0,4181.0,3269.0,4140.0,7107.0,637.0,8.714000000000112,-1.089343749999955,-6.760999999999967,3.164000000000044,-2.48599999999999,1037.0,1036.0,974.0,1043.0,1005.0,100,93,64,85,82,2.0,1.0,1.0,3.0,1.0,338,264,314,44,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.30833125000004885
2015-01-02 03:00:00+00:00,2015-01-02,3,31.0,11310.0,22238.0,22096.0,4.0,53.07,53.0,11199.0,3879.0,3267.0,4185.0,7106.0,640.0,8.714000000000112,-1.0569999999999595,-6.760999999999967,3.164000000000044,-2.48599999999999,1037.0,1037.0,974.0,1043.0,1005.0,100,94,64,85,82,2.0,1.0,1.0,3.0,1.0,338,236,314,44,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0,0.31480000000004793
2015-01-02 04:00:00+00:00,2015-01-02,4,26.0,11111.0,22299.0,22066.0,4.8,54.23,63.0,11152.0,3754.0,3258.0,4199.0,7105.0,628.0,8.302000000000021,-1.9633124999999725,-7.2479999999999905,2.677000000000021,-2.8729999999999905,1038.0,1037.0,975.0,1043.0,1006.0,100,94,62,88,78,1.0,1.0,1.0,3.0,1.0,338,275,13,55,284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,-0.22106249999998226
2015-01-02 05:00:00+00:00,2015-01-02,5,21.0,11303.0,22660.0,22275.0,5.0,58.22,55.0,11169.0,3899.0,3256.0,4254.0,7105.0,646.0,8.302000000000021,-2.165656249999984,-7.2479999999999905,2.677000000000021,-2.8729999999999905,1038.0,1037.0,975.0,1043.0,1006.0,100,95,62,88,78,1.0,1.0,1.0,3.0,1.0,338,264,13,55,284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,0,-0.26153124999998456
2015-01-02 06:00:00+00:00,2015-01-02,6,136.0,11297.0,23449.0,23025.0,7.04,67.55,54.0,11205.0,3953.0,2987.0,4199.0,7105.0,647.0,8.302000000000021,-0.7629999999999768,-7.2479999999999905,2.677000000000021,-2.8729999999999905,1038.0,1037.0,975.0,1043.0,1006.0,100,93,62,88,78,1.0,1.0,1.0,3.0,1.0,338,257,13,55,284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0,0,0.019000000000016826
2015-01-02 07:00:00+00:00,2015-01-02,7,175.0,11048.0,24067.0,23699.0,7.04,70.33,116.0,10920.0,4364.0,2447.0,4163.0,7105.0,645.0,9.355000000000018,-1.5003437499999563,-4.319999999999993,4.555000000000007,1.2800000000000296,1039.0,1037.0,976.0,1045.0,1007.0,100,95,67,85,70,1.0,1.0,1.0,3.0,2.0,311,245,5,56,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,1.873931250000021
2015-01-02 08:00:00+00:00,2015-01-02,8,1092.0,10711.0,25737.0,25834.0,7.88,71.26,1039.0,10491.0,4876.0,1907.0,4576.0,7107.0,648.0,9.355000000000018,-0.6326562499999682,-4.319999999999993,4.555000000000007,1.2800000000000296,1039.0,1038.0,976.0,1045.0,1007.0,100,94,67,85,70,1.0,1.0,1.0,3.0,2.0,311,236,5,56,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,0,0,2.047468750000019
2015-01-02 09:00:00+00:00,2015-01-02,9,2319.0,10379.0,27883.0,27927.0,10.71,75.86,2373.0,10156.0,5608.0,938.0,4383.0,7107.0,667.0,9.355000000000018,4.610000000000014,-4.319999999999993,4.555000000000007,1.2800000000000296,1039.0,1038.0,976.0,1045.0,1007.0,100,72,67,85,70,1.0,1.0,1.0,3.0,2.0,311,245,5,56,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,0,3.096000000000015
2015-01-02 10:00:00+00:00,2015-01-02,10,3451.0,10423.0,28969.0,29072.0,10.0,73.65,3699.0,10421.0,5665.0,747.0,4233.0,7106.0,660.0,11.82000000000005,4.019343750000019,-4.319999999999993,12.69500000000005,12.44500000000005,1039.0,1038.0,976.0,1045.0,1007.0,100,78,67,79,52,2.0,1.0,1.0,3.0,1.0,275,231,5,53,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,0,0,7.3318687500000355
2015-01-02 11:00:00+00:00,2015-01-02,11,4005.0,10989.0,28894.0,29071.0,7.04,74.19,4154.0,11230.0,4943.0,864.0,4139.0,7104.0,657.0,12.229000000000042,7.803687500000024,2.934000000000026,12.69500000000005,13.15400000000011,1037.0,1038.0,1007.0,1045.0,1022.0,74,64,57,79,44,2.0,1.0,1.0,3.0,1.0,272,234,180,53,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,9.76313750000005
2015-01-02 12:00:00+00:00,2015-01-02,12,4120.0,11842.0,29460.0,29439.0,7.0,71.51,4074.0,11920.0,4673.0,906.0,4211.0,7105.0,661.0,11.82000000000005,5.992000000000019,8.495000000000005,12.69500000000005,12.44500000000005,1039.0,1038.0,976.0,1045.0,1007.0,100,76,63,79,52,2.0,1.0,1.0,3.0,1.0,275,273,308,53,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,0,0,10.289400000000034
2015-01-02 13:00:00+00:00,2015-01-02,13,3794.0,12078.0,29389.0,29241.0,6.33,71.04,3851.0,11819.0,4768.0,1047.0,4278.0,7105.0,675.0,12.908312500000022,11.64165625000004,10.991656250000004,13.204687500000034,14.133312500000043,1035.0,1038.0,1038.0,1042.0,1036.0,50,52,47,74,37,2.0,1.0,1.0,3.0,1.0,264,264,354,52,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,0,12.57592500000003
2015-01-02 14:00:00+00:00,2015-01-02,14,3479.0,11797.0,28231.0,27973.0,5.0,71.24,3619.0,11961.0,4268.0,1491.0,4092.0,7105.0,680.0,13.178687500000024,11.695343750000006,11.795343750000027,13.714312500000004,14.403687500000046,1035.0,1038.0,1037.0,1038.0,1036.0,52,55,46,70,37,2.0,1.0,1.0,4.0,1.0,260,291,353,51,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,0,12.957475000000022
2015-01-02 15:00:00+00:00,2015-01-02,15,2788.0,12061.0,27716.0,27320.0,6.21,70.64,3024.0,12025.0,4387.0,1975.0,4375.0,7106.0,686.0,12.19500000000005,7.845000000000027,6.657500000000027,11.2235,9.27000000000004,1037.0,1038.0,1038.0,1040.0,1037.0,74,69,64,81,54,2.0,1.0,1.0,3.0,1.0,266,215,333,52,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,16,0,0,9.438200000000029
2015-01-02 16:00:00+00:00,2015-01-02,16,1786.0,12102.0,27981.0,27157.0,9.98,72.85,2053.0,12077.0,4397.0,1760.0,4938.0,7105.0,682.0,12.883312500000043,9.200000000000044,9.4416875,12.733343750000016,11.341656250000028,1036.0,1038.0,1037.0,1036.0,1036.0,69,69,57,72,48,2.0,0.0,1.0,4.0,1.0,258,276,338,51,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,10,0,0,11.120000000000026
2015-01-02 17:00:00+00:00,2015-01-02,17,618.0,11451.0,30136.0,29045.0,33.15,82.55,769.0,11276.0,5210.0,595.0,6137.0,7106.0,696.0,12.317687500000034,6.6510000000000105,6.284312499999999,11.24265625000004,8.009343750000028,1036.0,1038.0,1037.0,1036.0,1036.0,84,79,68,78,59,2.0,1.0,1.0,3.0,1.0,260,234,324,51,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,20,21,0,0,8.901000000000021
2015-01-02 18:00:00+00:00,2015-01-02,18,170.0,10619.0,32754.0,31967.0,50.0,83.33,266.0,10510.0,6905.0,78.0,7580.0,7104.0,746.0,11.75200000000001,6.230500000000006,3.127000000000009,9.545000000000016,4.395000000000039,1037.0,1038.0,975.0,1043.0,1006.0,100,75,79,78,81,2.0,1.0,1.0,3.0,1.0,263,265,310,44,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,10,32,0,0,7.009900000000016
2015-01-02 19:00:00+00:00,2015-01-02,19,104.0,10216.0,33968.0,33266.0,52.01,83.23,165.0,10406.0,6973.0,68.0,7541.0,7106.0,751.0,11.482000000000028,2.972000000000037,0.5320000000000391,7.844500000000039,2.5570000000000164,1038.0,1038.0,1007.0,1040.0,1022.0,100,90,74,86,75,2.0,1.0,1.0,3.0,1.0,274,199,323,52,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,13,20,0,0,5.077500000000032
2015-01-02 20:00:00+00:00,2015-01-02,20,93.0,10470.0,33870.0,33668.0,50.01,79.06,137.0,10445.0,7272.0,68.0,7645.0,7107.0,755.0,11.212000000000046,1.8420000000000412,-2.062999999999988,5.937000000000012,0.4370000000000118,1038.0,1038.0,976.0,1044.0,1007.0,100,91,68,89,79,2.0,1.0,1.0,3.0,1.0,285,206,336,52,262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,6,8,0,0,3.4730000000000247
2015-01-02 21:00:00+00:00,2015-01-02,21,92.0,10112.0,32715.0,32426.0,45.8,76.2,137.0,9976.0,6712.0,68.0,7393.0,7107.0,752.0,11.212000000000046,1.9300000000000068,-2.062999999999988,5.937000000000012,0.4370000000000118,1038.0,1037.0,976.0,1044.0,1007.0,100,92,68,89,79,2.0,1.0,1.0,3.0,1.0,285,190,336,52,262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,10,8,0,0,3.4906000000000175
2015-01-02 22:00:00+00:00,2015-01-02,22,81.0,9560.0,30052.0,29705.0,41.74,71.75,137.0,9527.0,6292.0,68.0,5829.0,7108.0,755.0,11.212000000000046,0.3940000000000623,-2.062999999999988,5.937000000000012,-0.8169999999999504,1038.0,1038.0,976.0,1044.0,1007.0,100,94,68,89,78,2.0,1.0,1.0,3.0,1.0,285,204,336,52,271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,8,0,0,2.9326000000000363
2015-01-02 23:00:00+00:00,2015-01-02,23,2.0,9313.0,26323.0,25564.0,35.62,66.82,62.0,9264.0,5142.0,502.0,5845.0,7096.0,833.0,10.735000000000014,0.0760000000000218,-3.227499999999964,5.060000000000002,-0.8169999999999504,1036.0,1037.0,1008.0,1040.0,1007.0,84,95,81,90,78,2.0,1.0,1.0,3.0,1.0,306,196,175,54,271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,4,0,0,2.365300000000025
